Job_name,Company,Region,Salary,Url
心理学编辑,中国人民大学书报资料中心,北京-海淀区,8-10万/年,https://jobs.51job.com/beijing-hdq/101152479.html?s=01&t=0
教育学/心理学编辑,湖南学纳网络科技有限公司,长沙-开福区,4.5-9千/月,https://jobs.51job.com/changsha-kfq/109029934.html?s=01&t=0
教育心理学研究员,深圳百步梯科技有限公司,深圳-福田区,0.6-1.5万/月,https://jobs.51job.com/shenzhen-ftq/118771481.html?s=01&t=0
"教育学,心理学讲师",广东师达教育科技有限公司,广州-天河区,0.4-1万/月,https://jobs.51job.com/guangzhou-thq/105175474.html?s=01&t=0
心理学编辑,湖南德才人力资源有限公司,长沙-岳麓区,5-7千/月,https://jobs.51job.com/changsha-ylq/103996082.html?s=01&t=0
EAP项目管理（心理学方向）,重庆市云日信息技术有限公司,重庆,3.5-5千/月,https://jobs.51job.com/chongqing/105447594.html?s=01&t=0
心理学课程销售,广州市智慧行文化发展有限公司,广州-天河区,6-8千/月,https://jobs.51job.com/guangzhou-thq/96073741.html?s=01&t=0
教师招考培训讲师（教育学+心理学）,欣瑞教育合肥分校,合肥-蜀山区,6-8千/月,https://jobs.51job.com/hefei-ssq/107598319.html?s=01&t=0
心理学老师,成都市龙泉驿区睿达文化艺术培训学...,成都-龙泉驿区,3-4.5千/月,https://jobs.51job.com/chengdu-lqyq/112401523.html?s=01&t=0
研究员（心理学）,荣怀集团有限公司,杭州-滨江区,1-1.5万/月,https://jobs.51job.com/hangzhou-bjq/115785220.html?s=01&t=0
民航服务心理学老师,陕西信息工业技工学校,西安,4.5-6千/月,https://jobs.51job.com/xian/109977076.html?s=01&t=0
产品经理（心理学产品）,江苏金惠甫山软件科技有限公司,南京-玄武区,1.4-1.5万/月,https://jobs.51job.com/nanjing-xwq/118920615.html?s=01&t=0
教招心理学老师,江西易公教育咨询有限公司,南昌,1-1.5万/月,https://jobs.51job.com/nanchang/119888252.html?s=01&t=0
幼教/心理学老师（河西万达园）,龅牙兔儿童情商乐园,南京-建邺区,4-8千/月,https://jobs.51job.com/nanjing-jyq/113554096.html?s=01&t=0
心理学讲师,广州市科秀企业管理顾问有限公司,广州-越秀区,4.5-6千/月,https://jobs.51job.com/guangzhou-yxq/113720059.html?s=01&t=0
心理学产品研究员,上海青研科技有限公司,上海,12-25万/年,https://jobs.51job.com/shanghai/110150082.html?s=01&t=0
销售顾问（在线情感婚恋咨询+心理学）N,杭州袋虎信息技术有限公司,杭州-滨江区,0.8-1万/月,https://jobs.51job.com/hangzhou-bjq/108720970.html?s=01&t=0
心理学负责人,杭州贝蓓医药科技有限公司,杭州,15-20万/年,https://jobs.51job.com/hangzhou/115204419.html?s=01&t=0
儿童心理学教师,深圳市福田区英皇幼儿园,深圳-南山区,1-1.5万/月,https://jobs.51job.com/shenzhen-nsq/117279236.html?s=01&t=0
情感模型/语言研究（心理学方向）,深圳市易二三科技有限公司,深圳-南山区,1-1.5万/月,https://jobs.51job.com/shenzhen-nsq/118169386.html?s=01&t=0
心理学项目经理,苏州天力咨询有限公司,苏州-姑苏区,0.8-1万/月,https://jobs.51job.com/suzhou-gsq/80100608.html?s=01&t=0
心理学研究助理,上海中易心理与感知科学研究院,上海-杨浦区,3-4.5千/月,https://jobs.51job.com/shanghai-ypq/100364536.html?s=01&t=0
心理学图书编辑,后浪出版咨询（北京）有限责任公司...,北京,4.5-6千/月,https://jobs.51job.com/beijing/69067819.html?s=01&t=0
教育专业、师范专业、心理学专业实习生,安徽环球文化旅游集团有限公司,合肥,1.5-2.8千/月,https://jobs.51job.com/hefei/114431120.html?s=01&t=0
心理学产品研发,上海心灵伙伴览育信息技术有限公司...,上海-普陀区,0.6-1万/月,https://jobs.51job.com/shanghai-ptq/113094716.html?s=01&t=0
心理学研究员,广州创显科教股份有限公司,广州-番禺区,0.8-1.5万/月,https://jobs.51job.com/guangzhou-pyq/114698576.html?s=01&t=0
心理学（班主任、课程顾问）老师,烟台情景教育咨询有限公司,烟台,3.5-7千/月,https://jobs.51job.com/yantai/119785065.html?s=01&t=0
项目主管（心理学专业）,西安大康中泰心理保健咨询有限责任...,西安-雁塔区,3-5千/月,https://jobs.51job.com/xian-ytq/115028927.html?s=01&t=0
