Require_num,Job_description
招10人,"岗位职责：1、负责公司产品的销售及推广；2、根据市场营销计划，完成部门销售指标；3、开拓新市场,发展新客户,增加产品销售范围；4、负责辖区市场信息的收集及竞争对手的分析；5、负责销售区域内销售活动的策划和执行，完成销售任务；6、管理维护客户关系以及客户间的长期战略合作计划。任职资格：1、大专及以上学历，市场营销等相关专业；2、1-2年以上销售行业工作经验，业绩突出者优先；3、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；4、具备一定的市场分析及判断能力，良好的客户服务意识；5、有责任心，能承受较大的工作压力；6、有团队协作精神，善于挑战。工作时间："
招若干,受理及主动电话客户，能够及时发现客户问题并给到正确和满意的回复
招若干人,招聘做定安牛肉火锅师傅，懂牛杂，牛腩，牛排煲类制作，海南师傅优先！
招2人,工作内容：负责将客人预定的外卖按照订单详情打包完整职位要求：吃苦耐劳，服从领导管理和安排工作时间：早班9.30-14.30，午休两小时晚班12.30-23.00
招1人,我们的要求——1.基础要求：学历与专业：专科及以上学历、幼教类专业毕业，教育学、心理学理论知识掌握扎实。技能：普通话二甲及以上，发音标准，能歌善舞。素质：活泼，亲和力佳，有责任心、耐心、爱心，热爱教育事业和较好的个人素养。能力：具有较好的沟通、班级管理、组织协调能力。优先资格：持有幼儿教师资格证优先录用。2.关键要求：具备幼儿培训项目教研能力有带队经验。工作地：三明市区进入英杰，您将享有——1.五险；2.租房补贴；3.外出学习；4.带薪寒暑假；5.丰富的员工活动；6.生日福利；7.法定假日；8.一周休两天（周一、周二）；英杰为您提供足够的成长平台，有梦够胆您有就来！工作内容：
招若干,职位要求：1、大专或大专以上学历（有特殊教育、师范专业、幼儿教育、教育学、心理学、社会工作专业优先，持有教师资格证、工作经验不限）2、年龄35岁以下，男女不限，有特教工作经验者优先考虑。3、有耐心、爱心、性格开朗、吃苦耐劳，勤奋踏实、热爱学习、敢于挑战，品行端正。喜爱孩子，热爱特殊儿童教育事业，有良好的团队合作精神。工作时间：周一～周五上午8:00～12:00下午2:30～17:30待遇：1、五险2、基本工资+考核+工龄工资+全勤奖+年终奖等3、每周一次专业培训，每年数次出差学习机会4、提供午餐、交通补贴5、周末双休、国家规定节假日休息
招3人,工作内容：1、负责对特殊儿童开展专业一对一训练。2、根据儿童自身实际情况制定教学计划。3、负责对教学进行记录和总结。职位要求：1、特殊教育、心理学专业、学前教育、幼儿教育、保育、康复等专业，中专及以上学历。2、孤独症康复教育工作一年以上工作经验者优先。3、热爱特殊教育事业，有进取心，有亲和力，善于沟通协调，执行力强。4、可招收应届毕业生。工作时间：上午8:00～11:30下午2:30～17:30，周末双休，享有国家法定节假日
招3人,任职资格：1、专科及以上学历，心理学、幼儿教育等相关专业；2、具有2年以上幼教教学经验者优先考虑；3、具有一定的幼儿管理经验，亲和力强；4、熟悉儿童生活习性，了解儿童心理；5、具有一定的文艺表演能力，普通话标准，口齿伶俐；6、热爱教育事业，工作积极主动、责任心强。工作时间：周一至周五
招10人,任职资格：1、专科及以上学历，师范类播音主持专业优先2、具有丰富的教学经验和一定的教学研究工作经验；3、熟练掌握办公软件和互联网的使用技巧；4、具备教育心理学知识，较强的授课能力；5、具有很强的中文表达能力，普通话标准，口齿伶俐；6、具有较强的亲和力，讲课生动活泼，知识面宽广；7、热爱教育事业，工作积极主动、责任心强。
招2人,一、岗位职责1、通过网络及电话等工具对公司的产品进行推广，完成任务；（非主动打电话）2、通过网络电话等了解客户需求，推荐相应的产品，提供相应的服务；3、管理客户资料、维护客户关系及客户间的长期合作计划；4、拜访客户、项目洽谈、合同签署等；二、任职要求1、具有同行业网络销售工作经验者优先；2、性格开朗，有良好的自信心及明确的自我目标；3、有较强的团队合作精神、工作执行力和计划性，具备良好的沟通表达能力；4、工作态度积极，敢于挑战高薪！三、福利待遇1、工作时间：上午9:00~12:00下午14:00~18:00法定节假日;2、福利：节日福利、带薪年假；3、薪资：底薪+高额提成+奖金;
招3人,玲凡琴筝是一所艺术培训学校，学校位于美丽的燕郊核心地段，具备优美的教学环境、齐全的教学设备、有机的教学理念、过硬的教学质量、资深的教师队伍，良好的办学声誉，已为国家培育了众多优秀艺术人才。2019年5月学苑优秀学生荣登央视星光大道舞台……现因学校发展和工作需要，开展以下工作：一、师资培训1、开展初级、中级、高级艺术教师资格培训，由中国音乐学院专家亲临授课。特招聘优秀管理教师及授课教师。2、培训结束，经过考试成绩合格者，发给不同级别的教师合格证。3、学苑择优录用，详情面议。二、招聘优秀管理教师、授课教师及运营、策划招聘岗位及条件：1、管理老师数名，授课教师数名2、招聘对象：20-35岁有志人员。3、招聘条件：1、身体健康，品行优良，热爱教育教学事业。2、专业知识扎实，熟悉现代教育技术。3、综合素质高，动手能力强组织能力强，有较好的口头表达和独立开展工作的能力。4、有基础者优先。教师待遇：1、根据工作职能区别：1、管理教师底薪+提成2、教课教师根据授课量计时发放应聘方法：1、有意者请将个人简历用Word文档E_mail至学校邮箱（邮件主题必须注明毕业院校并附毕业证书复印件、专业，应聘岗位，文档名必须注明应聘者姓名及性别），应聘材料经审核后学校将致电初审合格者来我校参加面试、笔试。
招若干人,图书的选题策划，组稿，改编，汇编。有图书编排经验的优先
招1人,"能快速的按客户要求排版输出,有责任心,有一定的沟通协调能力"
招若干人,"及时、准确接听/转接电话,接待来访客人并及时准确通知被访人员。沟通能力强，懂儿童心理学。合理分班，家校沟通！"
招6人,岗位职责：1、协助幼儿园内的后勤服务工作；2、负责幼儿园的家庭教育指导工作；3、收集、整理家园教育资料，并及时归档。任职资格：1、专科及以上学历，心理学、幼儿教育等相关专业；2、具有2年以上幼教教学经验者优先考虑；3、亲和力强；4、熟悉儿童生活习性，了解儿童心理；5、具有一定的文艺表演能力，普通话标准，口齿伶俐；6、热爱教育事业，工作积极主动、责任心强。工作时间：做五休二
招50人,公司注重于直播艺人的挖掘、包装、培养和推广。让有梦想有热情的主播艺人实现自己的演绎价值。零基础一对一培训，做人气（助推上热门）实力传媒公司拥有大量资源扶持。拥有专业直播平台直播设备，提供单人单间直播间住宿有空调独立卫生间，专业培训新主播，公会给予较大的支持，公会24小时运营在线，帮助新主播解决各种疑难杂症，提供免费的视频调试，声卡调试。职位要求：年满18-30周岁学历不限，有无经验均可，公司会根据每个人不同性格特点来包装培训。工作内容：1、主要通过网络直播才艺表演，比如唱歌、跳舞、DJ等；2、活跃直播间气氛，维护直播间秩序；3、主动与在线粉丝互动交流；工作时间：七个小时（自行安排）福利待遇：保底3000+提成+奖金，上不封顶，一份努力，一份收获。
招50人,工作内容：公司提供精准客户，微信沟通完成销售业绩。喜欢销售工作 想要拿高薪 有无经验皆可，带薪岗前培训福利待遇：1.公司人性化管理，各种节日福利，不定期举行员工聚餐，k歌，户外拓展，旅游等2.高级写字楼办公，环境优越，交通便利3.工资=底薪业绩提成（阶梯式）各种奖励人均工资4000—上不封顶工作时间：9:00—12:00                  2：00—5：00每周休息一天公司地址：三门峡湖滨大厦A座15楼1511
招若干人,岗位职责：1、整体规划和文字编辑工作；2、设计和宣传资料的制作；3、编写宣传资料及相关产品资料；4、较强的创意、策划能力，良好的文字表达能力，思维敏捷；5、熟练使用Photoshop、等常用设计制作软件；6、工作认真，有责任心，踏实肯干，富有团队精神；7、可接收学徒及应届生。　　不需要你技术太优秀，只需要你个人觉得自己挺优秀。在这里会让你的技术会更优秀。不需要你的经验太丰富，在这里会让你体现你的价值观。会让你的经验更丰富。加入我们会让你有意想不到的收获。加入我们只需要你有梦想。只需要你想拥有真才实料的自己的想法与决心。
招6人,岗位职责：1、负责学生的思想政治工作及教学、教研等方面的工作；2、承担两门以上课程的讲授任务，组织课堂讨论；3、指导学生实习、社会调查、毕业设计等工作；4、承担课程辅导和答疑，作业和考卷批改等工作；5、协助实验室的建设工作，组织和指导实验与实习教学工作；6、参加编写、审议新教材和教学参考书，主持或参与教学方法研究；7、参加学术活动撰写学术报告；8、参与教学改革的研究或改革试点工作，为教学研究新思路、新方法提供建议；9、完成教学部门主任安排的其他任务。任职资格：1、本科及以上学历，师范类院校毕业；2、具有丰富的教学经验和一定的教学研究工作经验；3、熟练掌握办公软件和互联网的使用技巧；4、具备教育心理学知识，较强的授课能力；5、具有很强的中文表达能力，普通话标准，口齿伶俐；6、具有较强的亲和力，讲课生动活泼，知识面宽广；7、热爱教育事业，工作积极主动、责任心强。工作时间：
招1人,岗位职责：1、协助幼儿园内的后勤服务工作；2、负责幼儿园的家庭教育指导工作；3、负责幼儿园的亲子早教工作；4、收集、整理家园教育资料，并及时归档。任职资格：1、专科及以上学历，心理学、幼儿教育等相关专业；2、熟悉儿童生活习性，了解儿童心理；3、具有一定的文艺表演能力，普通话标准，口齿伶俐；4、热爱教育事业，工作积极主动、责任心强。工作时间：8点-5点
招2人,任职资格：1、大专及以上学历，师范类院校毕业；2、具有丰富的教学经验和一定的教学研究工作经验；3、熟练掌握办公软件和互联网的使用技巧；4、具备教育心理学知识，较强的授课能力；5、具有很强的中文表达能力，普通话标准，口齿伶俐；6、具有较强的亲和力，讲课生动活泼，知识面宽广；7、热爱教育事业，工作积极主动、责任心强。8、完成教学部门领导安排的其他任务。
招20人,上海学而优家教常年招聘高中各科老师，任职要求：1、具有丰富的教学经验和一定的教学研究工作经验；2、具备教育心理学知识，较强的授课能力；3、具有很强的中文表达能力，普通话标准，口齿伶俐；4、具有较强的亲和力，讲课生动活泼，知识面宽广；5、热爱教育事业，工作积极主动、责任心强。也欢迎您直接投简历给我们，我们会主动联系您的！
招6人,"【招聘条件】1、年龄20~45，大专及以上学历。在大学里担任干部以及心理学、管理学、金融学专业毕业者优先；教师、导游、退伍军人、个体户优先。2、具有良好的语言表达能力，良好的沟通协调能力，思路清晰，极强的适应力，较强的学习能力，绝对的执行力，具有前瞻性思维，战略性眼光和团队管理能力；3、敬业、执着，有较强的市场开拓能力和创新能力；4、做好客户的售后服务工作，发现客户的保险需求，给客户完善保险体系，做出适合客户的个性化保险方案岗位职责：1、入职后接受中国人寿教育培训部统一培训（保险知识，售后服务，销售技巧等）；2、根据客户的要求，为其提供专业的保险知识咨询和服务；3、负责推荐保险种类及相关理财产品，并制定个性化的家庭保险方案；4、需定期接受专业保险业务辅导、培训和讲座，提升专业化技能水平；5、负责参保客户的后续客户服务工作(提醒续保，更改投保人，添加受益人，更改联系方式等等）。6.参与公司规章制度、营销方案及招聘计划等的制定和实施，监督并反馈执行情况；7.接受公司提供的定期培训，深入了解保险行业，提高理财规划能力以及基本的演讲能力，逐步走向管理层。【薪资待遇】1、试用期（3个月）接受国寿重金打造的“摩天轮”训练，全面了解保险行业，快速提升专业素质，同时还有丰厚的奖励方案。正式签约后薪资：培训津贴+伯乐奖+业绩提成+团队建设基金+养老医疗保险+竞赛奖励+海内外旅游2、转正后增加：底薪+团队管理津贴+干部表彰会+参加全国华人保险大会+进入明星俱乐部高级会员。3、工作时间9：00--17：00，享受双休、法定节假日。4、终身享受中国人寿保险公司一流的国际化专业销售、管理等各项培训及高额的团体意外、医疗商业保险等保障。5、完善的经理人职涯规划，建立三高团队(高品质,高素质,高绩效),打造年利润在百万甚至千万永续经营的团队。;公开,透明的晋升制度:通畅快速的晋升渠道,人人机会均等.;晋升之路：实习生——收展员——筹备组经理——组经理——部经理——区经理……6、舒适的办公环境+持续的培训提升+公开公正的晋升渠道7、为年轻人搭建了广阔的事业发展平台，心有多大，舞台就有多大，历史蕴含价值，光荣成就未来，期待志存高远的朋友和国寿共同成长，在国寿这个大舞台上绽放华彩。"
招5人,工作内容：岗位职责：1、负责幼儿园内的班级工作；2、负责幼儿园的家庭教育指导工作；3、收集、整理家园教育资料，并及时归档。任职资格：1、专科及以上学历，心理学、幼儿教育等相关专业；2、具有2年以上幼教教学经验者优先考虑；3、熟悉儿童生活习性，了解儿童心理；4、具有一定的文艺表演能力，普通话标准，口齿伶俐；5、热爱教育事业，工作积极主动、责任心强。
招5人,1、身高175cm以上，本科及以上学历，人力资源、心理学等相关专业；2、每周工作四天以上，EXCEL使用熟练；3、待遇：本科120/天，研究生150/天；地点：上海市长宁区天山西路567号9楼（2号线淞虹路站）。
招3人,1、具有丰富的教学经验和一定的教学研究工作经验；2、熟练掌握办公软件和互联网的使用技巧；3、具备教育心理学知识，较强的授课能力；4、具有很强的中文表达能力，普通话标准，口齿伶俐；5、具有较强的亲和力，讲课生动活泼，知识面宽广；6、热爱教育事业，工作积极主动、责任心强岗位要求：对待学生要有耐心，责任心，也要有爱心，有爱心的老师才可以挖掘出孩子的学习潜力及兴趣，有教学经验者优先考虑！退休教师亦可，有教师资格证的优先。兼职老师也可投递简历
招2人,壹馨美学课老师招聘要求：1、大专及以上学历，美术教育、美术学、视觉传达、油画等相关专业优先；2、具备丰富的美术史及儿童教育心理学知识，了解5-12岁儿童的美术能力发展规律；3、美术功底扎实，熟悉美术材料的运用；4、性格乐观开朗，亲和力强，善于与儿童沟通，有责任感；5、品德优秀，喜爱孩子，热爱儿童教育事业
招6人," 上海肤禧古方中应用自主研究的“中医经络学+营养学+心理学+人体运动学”的综合疗法治疗肥胖和预防肥胖；通过专业的医学理论和娴熟的临床技能为肥胖者提供专业和优质的服务。    随着减肥业务的逐渐扩大和成熟，现特招聘满足以下全部或部分条件的人才：  1.女性，年龄在25-60之间为佳,具有中、高级技术职称者经验优先，退休老中医亦可；3.具有执业医师（中医类别）资格，有两证（医师资格证书、医师执业证书）；4.有无技术均可，可熟练操作减肥调理者优先，；5.另熟练掌握中医推拿、中药理疗、刮痧、拨罐、艾炙尤佳； 具体待遇及工作职责面议。 工作地点：上海 联系：静慧老师    "
招若干人,对来访咨询者接待：全面、准确、有针对性的做好咨询工作任职资格喜欢儿童，热爱儿童教育事业，形象气质佳；营销类、教育类、心理学专业优先；具有出色的销售能力与良好的客户服务意识；工作积极主动，有进取心； 有团队合作精神和敬业精神，有亲和力，沟通能力强；有较强的学习和执行力，抗压能力强，富有责任心；具有两年以上教育培训行业课程顾问经验者优先考虑。岗位职责完成每月的市场、销售任务；发展及维护客户关系，完成每月服务任务；参与和支援相关销售、市场活动； 家长提供必要的儿童专注力及情商发展咨询。 
招2人,1.喜欢小朋友，有爱心、耐心、细心。2.协助主班教师带班工作。3.幼儿教育、心理学专业优先。4.应届毕业生可应聘。
招5人,任职条件：1、专科及以上学历；2、熟练掌握办公软件和互联网的使用技巧；3、具备教育心理学知识，较强的授课能力；4、具有很强的中文表达能力，普通话标准，口齿伶俐；5、具有较强的亲和力，讲课生动活泼，知识面宽广；6、热爱教育事业，工作积极主动、责任心强。工作内容：市场开拓，销售邀约咨询，学员维护等职位要求：要有开拓进取，不怕吃苦的精神
招1人,💕任职资格：1、大专以上学历，师范类院校毕业；2、具有一定的教学经验；3、具备教育心理学知识，较强的授课能力；4、具有很强的中文表达能力，普通话标准，口齿伶俐；5、具有较强的亲和力，讲课生动活泼，知识面宽广；6、热爱教育事业，工作积极主动、责任心强。7、一定要有团队精神；8:❗️❗️❗️公主病勿扰。💕工作地点：上海青浦试用期3个月，转正后工资组成：底薪3500（本科）+课时费+奖金+社保（月收入约8000-12000元）；💕福利：1、提供就近宿舍；2、享受节假日福利、国假假期；3、享受每年1-2次国内、外旅游；
招5人,工作内容：利用心理学知识帮助来访者疏导情绪及家庭问题职位要求：学徒无要求，学会后可在我心理咨询室工作工作时间：早上8：30-晚上6：30，每周休一天
招若干,1.特殊教育老师，特教/幼教/心理学专业2.富有责任感，亲和力，喜欢孩子3.团队意识强4.想法灵活，适应能力强。
招3人,岗位职责：1、负责幼儿一日活动的组织与安排；2、负责班级的家园沟通工作；3、收集、整理家园教育资料，并及时归档。任职资格：1、专科及以上学历，心理学、幼儿教育等相关专业；2、具有2年以上幼教教学经验者优先考虑；3、亲和力强；4、熟悉儿童生活习性，了解儿童心理；5、具有一定的文艺表演能力，普通话标准，口齿伶俐；6、热爱教育事业，工作积极主动、责任心强。工作时间：周一至周五
招3人,职位描述公司是以儿童心理学为基础的成长训练和家庭教育的机构，有八项知识产权，30余位心理教育专家团队，央视授权，新店开业现招募团队精英岗位职责：1，负责校区的学员招生工作，公司提供优质的学员信息，无需自己寻找2，了解客户需求，有针对性地向客户介绍学校课程，制定学习计划。3，保持与客户良好的沟通，耐心解答客户的疑问及咨询，为客户提供必要的儿童发展咨询4，有效维护学员资源，提供优质服务，达成长期合作5，根据公司发展规划，完成每月的销售指标。6，能在公司长期稳定沉淀下来，伴随公司发展而达到个人发展薪资待遇：1，完成每月销售指标，轻松月入过万。2，弹性工作制，一天8小时，一周休两天。3，员工子女惠读训练课，让你的孩子藐视魔都令人发指的幼升小，小升
招2人,任职要求：1.本科及以上学历，师范类优先；2.业务精湛，熟悉高中物理科目，有5年以上高中物理课程授课经验；3.善于沟通、有耐心、懂教育心理学、有责任感；4.普通话标准，表达能力强，能用通熟易懂的语言讲解复杂题型；5.家住附近，或者本人不在意路途远的；工作地址：浦东新区惠南镇海燕二村41号工作时间：做五休二，也可兼职，工资面议注：如电话有时打不通，可通过邮箱联系，符合条件一般都会及时回复，另外不符合条件者请勿投简历
招1人,辅导小学语文作业，有教师资质，有亲和力，较好能懂点儿童心理学
招若干人,荦杰教育主要为成人和少儿提供心理学情商口才的培训！另外还可提供心里辅导！希望能招到一些志同道合的朋友一起发展！现在加入的都是元老级别，早加入早点享受各种待遇！在家即可上班！创新的工作模式1.销售课程提成行业较高20%提成时间自由！2.工作满半年，公司出钱可去考*心里咨询师证，培养成情商口才老师！有老师梦想的快点加入吧3.公司提供优质名单3.不销售课程邀约参加试听课也有奖金哟！4.兼职全职都可以做！5.另外根据公司名单直接销售录播课，非常简单详情可联系，期待您与我们共同发展缴纳五险一金
招1人,我们是一家教育培训机构，因公司发展需要现需招聘英语老师。1、本科及以上学历，师范类院校毕业；2、具有丰富的教学经验；3、具备教育心理学知识，较强的授课能力；4、具有较强的亲和力，讲课生动活泼，知识面宽广；5、热爱教育事业，工作积极主动、责任心强。
招2人,任职资格：1、专科及以上学历，心理学、幼儿教育等相关专业；2、具有幼教教学经验者优先考虑；3、熟悉儿童生活习性，了解儿童心理；4、具有一定的文艺表演能力，普通话标准，口齿伶俐；5、热爱教育事业，工作积极主动、责任心强。
