Job_name,Company,Region,Salary,Job_Category,Welfare,Edu_require,Experience,Url
胜利路|高薪聘国学语文教师,辽阳县金顺广告装饰制作中心,鞍山,5000-10000元/月,教师/助教,None,本科,不限,https://as.58.com/zhuanye/39522421217163x.shtml?psid=177481715207009128505594023&entinfo=39522421217163_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
海城|高薪诚聘快速记忆老师,海城市领航教育咨询有限公司,鞍山,3000-6000元/月,教师/助教,年底双薪,本科,不限,https://as.58.com/zhuanye/39512690816135x.shtml?psid=177481715207009128505594023&entinfo=39512690816135_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
二一九|直招口才老师,鞍山百灵鸟文化传媒有限公司,鞍山,面议,教师/助教,"饭补,话补",本科,不限,https://as.58.com/zhuanye/39172142139273x.shtml?psid=177481715207009128505594023&entinfo=39172142139273_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
高新区|课程顾问,鞍山市艺高美学教育培训学校有限公司,鞍山,5000-8000元/月,招生/课程顾问,"饭补,交通补助",不限,不限,https://as.58.com/zhuanye/38762252073492x.shtml?psid=177481715207009128505594023&entinfo=38762252073492_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
明达|吉他老师,辽宁枫树林文化艺术有限公司,鞍山,3000-6000元/月,音乐/美术教师,交通补助,不限,不限,https://as.58.com/zhuanye/38893875606297x.shtml?psid=177481715207009128505594023&entinfo=38893875606297_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
海城|高薪诚聘英语教师,鞍山想象力教育科技有限公司,鞍山,3000-6000元/月,教师/助教,"五险一金,交通补助,饭补",大专,不限,https://as.58.com/zhuanye/38637981553694x.shtml?psid=177481715207009128505594023&entinfo=38637981553694_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
六道街|幼师,唯美童星梦工厂语言表演学校,鞍山,面议,幼教/早教,五险一金,不限,不限,https://as.58.com/zhuanye/32115918550588x.shtml?psid=177481715207009128505594023&entinfo=32115918550588_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
海城|高薪急聘中学化学老师,海城市领航教育咨询有限公司,鞍山,3000-6000元/月,教师/助教,年底双薪,本科,不限,https://as.58.com/zhuanye/39512679001476x.shtml?psid=177481715207009128505594023&entinfo=39512679001476_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
水源|舞蹈老师,辽宁枫树林文化艺术有限公司,鞍山,3000-6000元/月,舞蹈老师,"饭补,交通补助",不限,不限,https://as.58.com/zpjianshen/38892999370628x.shtml?psid=177481715207009128505594023&entinfo=38892999370628_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
高新区|招生/课程顾问,鞍山市艺高美学教育培训学校有限公司,鞍山,5000-8000元/月,招生/课程顾问,"饭补,交通补助,话补",不限,不限,https://as.58.com/zhuanye/38715897209749x.shtml?psid=177481715207009128505594023&entinfo=38715897209749_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
