Job_name,Company,Region,Salary,Job_Category,Welfare,Edu_require,Experience,Require_num,Job_description
吉阳|高薪房产经纪人,三亚房华似锦房地产经纪有限公司,三亚,面议,房产中介,五险一金,不限,不限,招10人,海南房华似锦地产房华似锦椰景蓝岸店大量招业务精英若干名我们不是基础的房源介绍中介，我们立志做优秀的资产处置专家！只要你够勤奋，我们手把手教！薪资待遇:有无经验均可，五险一金职位要求：1:20-40岁，男女不限2:有上进心，勤奋，热爱销售3:语言表达清晰，善于学习4:踏实肯干，有团队精神工作时间：午休3小时真诚期待您的加入，挑战月入过万面试地址：房华似锦地产大东海椰景蓝岸店
大东海|平台经纪人高薪提成,海南世华房地产顾问有限公司,三亚,5000-8000元/月,房产中介,None,不限,不限,招20人,全职：70%70%的提成70%70%的提成70%70%的提成70%70%的提成全职要求：上进，努力
吉阳|高薪置业顾问+高提成,三亚房华似锦房地产经纪有限公司,三亚,面议,房产中介,五险一金,不限,不限,招6人,工作内容：海南房华似锦地产英雄请留步！招聘：房华似锦椰景蓝岸店大量招业务精英6名，只要你够勤奋，我们手把手教，每月固定三套卖单，稳定你的五位数收入薪资待遇:有无经验均可：2600-5500+提成（40%～60%）+五险一金职位要求：1:20-40岁，男女不限2:有上进心，勤奋，热爱销售3:语言表达清晰，善于学习4:踏实肯干，有团队精神主做三亚市区二手房工作时间：早上8:30到12:00，下午15:00到19:30每月四天正常休真诚期待您的加入，挑战月收入过万面试地址：房华似锦地产椰景蓝岸店
迎宾路|销售代表,三亚品房阁房产营销策划有限公司,三亚,面议,销售,"包住,五险一金",不限,不限,招10人,"岗位职责：1、负责公司产品的销售及推广；2、根据市场营销计划，完成部门销售指标；3、开拓新市场,发展新客户,增加产品销售范围；4、负责辖区市场信息的收集及竞争对手的分析；5、负责销售区域内销售活动的策划和执行，完成销售任务；6、管理维护客户关系以及客户间的长期战略合作计划。任职资格：1、大专及以上学历，市场营销等相关专业；2、1-2年以上销售行业工作经验，业绩突出者优先；3、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；4、具备一定的市场分析及判断能力，良好的客户服务意识；5、有责任心，能承受较大的工作压力；6、有团队协作精神，善于挑战。工作时间："
陵水|网络销售2千+提成+包住,海南我房旅居集团有限公司,三亚,面议,客服,包住,不限,不限,招若干,受理及主动电话客户，能够及时发现客户问题并给到正确和满意的回复
建设街|高薪招聘做火锅牛肉师傅,三亚余味音乐餐吧,三亚,5000-8000元/月,餐饮,"包吃,包住,年底双薪,饭补,加班补助",不限,不限,招若干人,招聘做定安牛肉火锅师傅，懂牛杂，牛腩，牛排煲类制作，海南师傅优先！
亚龙湾|外卖打包员,三亚不仔美食管理有限公司,三亚,3000-5000元/月,餐饮,"包吃,包住,年底双薪,加班补助,话补",不限,不限,招2人,工作内容：负责将客人预定的外卖按照订单详情打包完整职位要求：吃苦耐劳，服从领导管理和安排工作时间：早班9.30-14.30，午休两小时晚班12.30-23.00
梅列区|幼儿培训项目主管,三明市梅列区英杰语言培训学校,三明,4000-6000元/月,教学/教务管理人员,"房补,五险一金",不限,不限,招1人,我们的要求——1.基础要求：学历与专业：专科及以上学历、幼教类专业毕业，教育学、心理学理论知识掌握扎实。技能：普通话二甲及以上，发音标准，能歌善舞。素质：活泼，亲和力佳，有责任心、耐心、爱心，热爱教育事业和较好的个人素养。能力：具有较好的沟通、班级管理、组织协调能力。优先资格：持有幼儿教师资格证优先录用。2.关键要求：具备幼儿培训项目教研能力有带队经验。工作地：三明市区进入英杰，您将享有——1.五险；2.租房补贴；3.外出学习；4.带薪寒暑假；5.丰富的员工活动；6.生日福利；7.法定假日；8.一周休两天（周一、周二）；英杰为您提供足够的成长平台，有梦够胆您有就来！工作内容：
三华南路|诚聘教师,将乐县心语福乐幼儿园,三明,1800-3500元/月,教师/助教,"五险一金,周末双休,加班补助",中专,不限,招若干,职位要求：1、大专或大专以上学历（有特殊教育、师范专业、幼儿教育、教育学、心理学、社会工作专业优先，持有教师资格证、工作经验不限）2、年龄35岁以下，男女不限，有特教工作经验者优先考虑。3、有耐心、爱心、性格开朗、吃苦耐劳，勤奋踏实、热爱学习、敢于挑战，品行端正。喜爱孩子，热爱特殊儿童教育事业，有良好的团队合作精神。工作时间：周一～周五上午8:00～12:00下午2:30～17:30待遇：1、五险2、基本工资+考核+工龄工资+全勤奖+年终奖等3、每周一次专业培训，每年数次出差学习机会4、提供午餐、交通补贴5、周末双休、国家规定节假日休息
宁化县|教师,宁化县心语启慧教育中心,三明,2500-3500元/月,教师/助教,"周末双休,包吃",中专,不限,招3人,工作内容：1、负责对特殊儿童开展专业一对一训练。2、根据儿童自身实际情况制定教学计划。3、负责对教学进行记录和总结。职位要求：1、特殊教育、心理学专业、学前教育、幼儿教育、保育、康复等专业，中专及以上学历。2、孤独症康复教育工作一年以上工作经验者优先。3、热爱特殊教育事业，有进取心，有亲和力，善于沟通协调，执行力强。4、可招收应届毕业生。工作时间：上午8:00～11:30下午2:30～17:30，周末双休，享有国家法定节假日
泃阳西…|幼儿园主班/配班老师,三河市星星皓幼儿园,三河,3000-4000元/月,幼教/早教,"包住,包吃,周末双休",大专,1-2年,招3人,任职资格：1、专科及以上学历，心理学、幼儿教育等相关专业；2、具有2年以上幼教教学经验者优先考虑；3、具有一定的幼儿管理经验，亲和力强；4、熟悉儿童生活习性，了解儿童心理；5、具有一定的文艺表演能力，普通话标准，口齿伶俐；6、热爱教育事业，工作积极主动、责任心强。工作时间：周一至周五
泃阳|高薪诚聘口才老师,三河市蓝九天文化传媒有限公司,三河,3000-5000元/月,教师/助教,None,大专,1-2年,招10人,任职资格：1、专科及以上学历，师范类播音主持专业优先2、具有丰富的教学经验和一定的教学研究工作经验；3、熟练掌握办公软件和互联网的使用技巧；4、具备教育心理学知识，较强的授课能力；5、具有很强的中文表达能力，普通话标准，口齿伶俐；6、具有较强的亲和力，讲课生动活泼，知识面宽广；7、热爱教育事业，工作积极主动、责任心强。
燕郊镇|销售助理,易族智汇（北京）科技有限公司,三河,5000-8000元/月,销售,"饭补,周末双休,话补,交通补助",不限,不限,招2人,一、岗位职责1、通过网络及电话等工具对公司的产品进行推广，完成任务；（非主动打电话）2、通过网络电话等了解客户需求，推荐相应的产品，提供相应的服务；3、管理客户资料、维护客户关系及客户间的长期合作计划；4、拜访客户、项目洽谈、合同签署等；二、任职要求1、具有同行业网络销售工作经验者优先；2、性格开朗，有良好的自信心及明确的自我目标；3、有较强的团队合作精神、工作执行力和计划性，具备良好的沟通表达能力；4、工作态度积极，敢于挑战高薪！三、福利待遇1、工作时间：上午9:00~12:00下午14:00~18:00法定节假日;2、福利：节日福利、带薪年假；3、薪资：底薪+高额提成+奖金;
燕郊城区|急招古筝老师高薪包住,三河市玲凡文化艺术传媒有限公司,三河,面议,教育培训,包住,不限,不限,招3人,玲凡琴筝是一所艺术培训学校，学校位于美丽的燕郊核心地段，具备优美的教学环境、齐全的教学设备、有机的教学理念、过硬的教学质量、资深的教师队伍，良好的办学声誉，已为国家培育了众多优秀艺术人才。2019年5月学苑优秀学生荣登央视星光大道舞台……现因学校发展和工作需要，开展以下工作：一、师资培训1、开展初级、中级、高级艺术教师资格培训，由中国音乐学院专家亲临授课。特招聘优秀管理教师及授课教师。2、培训结束，经过考试成绩合格者，发给不同级别的教师合格证。3、学苑择优录用，详情面议。二、招聘优秀管理教师、授课教师及运营、策划招聘岗位及条件：1、管理老师数名，授课教师数名2、招聘对象：20-35岁有志人员。3、招聘条件：1、身体健康，品行优良，热爱教育教学事业。2、专业知识扎实，熟悉现代教育技术。3、综合素质高，动手能力强组织能力强，有较好的口头表达和独立开展工作的能力。4、有基础者优先。教师待遇：1、根据工作职能区别：1、管理教师底薪+提成2、教课教师根据授课量计时发放应聘方法：1、有意者请将个人简历用Word文档E_mail至学校邮箱（邮件主题必须注明毕业院校并附毕业证书复印件、专业，应聘岗位，文档名必须注明应聘者姓名及性别），应聘材料经审核后学校将致电初审合格者来我校参加面试、笔试。
三河|图书编辑,北京五月星光传媒文化有限公司,三河,面议,编辑/出版/印刷,求职保障,不限,不限,招若干人,图书的选题策划，组稿，改编，汇编。有图书编排经验的优先
三河|方正ID排版,北京五月星光传媒文化有限公司,三河,面议,编辑/出版/印刷,求职保障,不限,不限,招1人,"能快速的按客户要求排版输出,有责任心,有一定的沟通协调能力"
湖滨城区|前台,三门峡市湖滨区水木教育培训中心,三门峡,3000-5000元/月,前台/总机/接待,None,不限,不限,招若干人,"及时、准确接听/转接电话,接待来访客人并及时准确通知被访人员。沟通能力强，懂儿童心理学。合理分班，家校沟通！"
湖滨区|红黄蓝入园过渡班老师,三门峡儿童潜能培训学校,三门峡,3000-6000元/月,幼教/早教,"五险一金,包住,加班补助,话补,交通补助",不限,不限,招6人,岗位职责：1、协助幼儿园内的后勤服务工作；2、负责幼儿园的家庭教育指导工作；3、收集、整理家园教育资料，并及时归档。任职资格：1、专科及以上学历，心理学、幼儿教育等相关专业；2、具有2年以上幼教教学经验者优先考虑；3、亲和力强；4、熟悉儿童生活习性，了解儿童心理；5、具有一定的文艺表演能力，普通话标准，口齿伶俐；6、热爱教育事业，工作积极主动、责任心强。工作时间：做五休二
湖滨城区|网络主播,三门峡庆远飞祥网络科技有限公司,三门峡,5000-10000元/月,影视/娱乐/休闲,"包住,周末双休,加班补助",不限,不限,招50人,公司注重于直播艺人的挖掘、包装、培养和推广。让有梦想有热情的主播艺人实现自己的演绎价值。零基础一对一培训，做人气（助推上热门）实力传媒公司拥有大量资源扶持。拥有专业直播平台直播设备，提供单人单间直播间住宿有空调独立卫生间，专业培训新主播，公会给予较大的支持，公会24小时运营在线，帮助新主播解决各种疑难杂症，提供免费的视频调试，声卡调试。职位要求：年满18-30周岁学历不限，有无经验均可，公司会根据每个人不同性格特点来包装培训。工作内容：1、主要通过网络直播才艺表演，比如唱歌、跳舞、DJ等；2、活跃直播间气氛，维护直播间秩序；3、主动与在线粉丝互动交流；工作时间：七个小时（自行安排）福利待遇：保底3000+提成+奖金，上不封顶，一份努力，一份收获。
湖滨区|微信客服女,河南造梦文化传媒有限公司,三门峡,5000-8000元/月,销售,"加班补助,年底双薪,五险一金",不限,不限,招50人,工作内容：公司提供精准客户，微信沟通完成销售业绩。喜欢销售工作 想要拿高薪 有无经验皆可，带薪岗前培训福利待遇：1.公司人性化管理，各种节日福利，不定期举行员工聚餐，k歌，户外拓展，旅游等2.高级写字楼办公，环境优越，交通便利3.工资=底薪业绩提成（阶梯式）各种奖励人均工资4000—上不封顶工作时间：9:00—12:00                  2：00—5：00每周休息一天公司地址：三门峡湖滨大厦A座15楼1511
湖滨区|设计员图文编辑,三门峡市湖滨区文靖图文设计制作部,三门峡,面议,美术/设计/创意,None,不限,不限,招若干人,岗位职责：1、整体规划和文字编辑工作；2、设计和宣传资料的制作；3、编写宣传资料及相关产品资料；4、较强的创意、策划能力，良好的文字表达能力，思维敏捷；5、熟练使用Photoshop、等常用设计制作软件；6、工作认真，有责任心，踏实肯干，富有团队精神；7、可接收学徒及应届生。　　不需要你技术太优秀，只需要你个人觉得自己挺优秀。在这里会让你的技术会更优秀。不需要你的经验太丰富，在这里会让你体现你的价值观。会让你的经验更丰富。加入我们会让你有意想不到的收获。加入我们只需要你有梦想。只需要你想拥有真才实料的自己的想法与决心。
嘉定城区|初中数学物理老师1.2w起+…,上海育林培训学校有限公司,上海,12000-20000元/月,教师/助教,"广告,五险一金,包住,话补,交通补助,加班补助",本科,不限,招6人,岗位职责：1、负责学生的思想政治工作及教学、教研等方面的工作；2、承担两门以上课程的讲授任务，组织课堂讨论；3、指导学生实习、社会调查、毕业设计等工作；4、承担课程辅导和答疑，作业和考卷批改等工作；5、协助实验室的建设工作，组织和指导实验与实习教学工作；6、参加编写、审议新教材和教学参考书，主持或参与教学方法研究；7、参加学术活动撰写学术报告；8、参与教学改革的研究或改革试点工作，为教学研究新思路、新方法提供建议；9、完成教学部门主任安排的其他任务。任职资格：1、本科及以上学历，师范类院校毕业；2、具有丰富的教学经验和一定的教学研究工作经验；3、熟练掌握办公软件和互联网的使用技巧；4、具备教育心理学知识，较强的授课能力；5、具有很强的中文表达能力，普通话标准，口齿伶俐；6、具有较强的亲和力，讲课生动活泼，知识面宽广；7、热爱教育事业，工作积极主动、责任心强。工作时间：
中原|实习老师,上海杨浦慧果果托育有限公司,上海,面议,幼教/早教,"五险一金,加班补助,周末双休",不限,不限,招1人,岗位职责：1、协助幼儿园内的后勤服务工作；2、负责幼儿园的家庭教育指导工作；3、负责幼儿园的亲子早教工作；4、收集、整理家园教育资料，并及时归档。任职资格：1、专科及以上学历，心理学、幼儿教育等相关专业；2、熟悉儿童生活习性，了解儿童心理；3、具有一定的文艺表演能力，普通话标准，口齿伶俐；4、热爱教育事业，工作积极主动、责任心强。工作时间：8点-5点
安亭|教师/助教,上海铭淼文化艺术传播有限公司,上海,5000-8500元/月,教师/助教,"五险一金,话补",大专,不限,招2人,任职资格：1、大专及以上学历，师范类院校毕业；2、具有丰富的教学经验和一定的教学研究工作经验；3、熟练掌握办公软件和互联网的使用技巧；4、具备教育心理学知识，较强的授课能力；5、具有很强的中文表达能力，普通话标准，口齿伶俐；6、具有较强的亲和力，讲课生动活泼，知识面宽广；7、热爱教育事业，工作积极主动、责任心强。8、完成教学部门领导安排的其他任务。
陆家嘴|聘高中生物地理政治老师,上海学儒文化传播有限公司,上海,5000-8000元/月,教师/助教,求职保障,不限,不限,招20人,上海学而优家教常年招聘高中各科老师，任职要求：1、具有丰富的教学经验和一定的教学研究工作经验；2、具备教育心理学知识，较强的授课能力；3、具有很强的中文表达能力，普通话标准，口齿伶俐；4、具有较强的亲和力，讲课生动活泼，知识面宽广；5、热爱教育事业，工作积极主动、责任心强。也欢迎您直接投简历给我们，我们会主动联系您的！
豫园|高薪1W4福利多保险顾问,中国人寿保险股份有限公司上海市普陀金沙江路营销服务部,上海,14000-28000元/月,保险顾问,"周末双休,五险一金,话补",大专,1-2年,招6人,"【招聘条件】1、年龄20~45，大专及以上学历。在大学里担任干部以及心理学、管理学、金融学专业毕业者优先；教师、导游、退伍军人、个体户优先。2、具有良好的语言表达能力，良好的沟通协调能力，思路清晰，极强的适应力，较强的学习能力，绝对的执行力，具有前瞻性思维，战略性眼光和团队管理能力；3、敬业、执着，有较强的市场开拓能力和创新能力；4、做好客户的售后服务工作，发现客户的保险需求，给客户完善保险体系，做出适合客户的个性化保险方案岗位职责：1、入职后接受中国人寿教育培训部统一培训（保险知识，售后服务，销售技巧等）；2、根据客户的要求，为其提供专业的保险知识咨询和服务；3、负责推荐保险种类及相关理财产品，并制定个性化的家庭保险方案；4、需定期接受专业保险业务辅导、培训和讲座，提升专业化技能水平；5、负责参保客户的后续客户服务工作(提醒续保，更改投保人，添加受益人，更改联系方式等等）。6.参与公司规章制度、营销方案及招聘计划等的制定和实施，监督并反馈执行情况；7.接受公司提供的定期培训，深入了解保险行业，提高理财规划能力以及基本的演讲能力，逐步走向管理层。【薪资待遇】1、试用期（3个月）接受国寿重金打造的“摩天轮”训练，全面了解保险行业，快速提升专业素质，同时还有丰厚的奖励方案。正式签约后薪资：培训津贴+伯乐奖+业绩提成+团队建设基金+养老医疗保险+竞赛奖励+海内外旅游2、转正后增加：底薪+团队管理津贴+干部表彰会+参加全国华人保险大会+进入明星俱乐部高级会员。3、工作时间9：00--17：00，享受双休、法定节假日。4、终身享受中国人寿保险公司一流的国际化专业销售、管理等各项培训及高额的团体意外、医疗商业保险等保障。5、完善的经理人职涯规划，建立三高团队(高品质,高素质,高绩效),打造年利润在百万甚至千万永续经营的团队。;公开,透明的晋升制度:通畅快速的晋升渠道,人人机会均等.;晋升之路：实习生——收展员——筹备组经理——组经理——部经理——区经理……6、舒适的办公环境+持续的培训提升+公开公正的晋升渠道7、为年轻人搭建了广阔的事业发展平台，心有多大，舞台就有多大，历史蕴含价值，光荣成就未来，期待志存高远的朋友和国寿共同成长，在国寿这个大舞台上绽放华彩。"
长阳路|幼儿教师,上海市虹口好春光幼儿园,上海,4000-6000元/月,教师/助教,"五险一金,周末双休,加班补助",大专,不限,招5人,工作内容：岗位职责：1、负责幼儿园内的班级工作；2、负责幼儿园的家庭教育指导工作；3、收集、整理家园教育资料，并及时归档。任职资格：1、专科及以上学历，心理学、幼儿教育等相关专业；2、具有2年以上幼教教学经验者优先考虑；3、熟悉儿童生活习性，了解儿童心理；4、具有一定的文艺表演能力，普通话标准，口齿伶俐；5、热爱教育事业，工作积极主动、责任心强。
天山|人力资源实习生,润东汽车集团有限公司上海分公司,上海,面议,文员,"五险一金,周末双休,加班补助,饭补",本科,不限,招5人,1、身高175cm以上，本科及以上学历，人力资源、心理学等相关专业；2、每周工作四天以上，EXCEL使用熟练；3、待遇：本科120/天，研究生150/天；地点：上海市长宁区天山西路567号9楼（2号线淞虹路站）。
南汇周边|化学老师,天安人寿保险股份有限公司上海分公司,上海,6000-10000元/月,教师/助教,"五险一金,加班补助,年底双薪,周末双休,饭补",大专,不限,招3人,1、具有丰富的教学经验和一定的教学研究工作经验；2、熟练掌握办公软件和互联网的使用技巧；3、具备教育心理学知识，较强的授课能力；4、具有很强的中文表达能力，普通话标准，口齿伶俐；5、具有较强的亲和力，讲课生动活泼，知识面宽广；6、热爱教育事业，工作积极主动、责任心强岗位要求：对待学生要有耐心，责任心，也要有爱心，有爱心的老师才可以挖掘出孩子的学习潜力及兴趣，有教学经验者优先考虑！退休教师亦可，有教师资格证的优先。兼职老师也可投递简历
张江|美学艺术老师,上海书览教育科技有限公司,上海,面议,音乐/美术教师,None,不限,不限,招2人,壹馨美学课老师招聘要求：1、大专及以上学历，美术教育、美术学、视觉传达、油画等相关专业优先；2、具备丰富的美术史及儿童教育心理学知识，了解5-12岁儿童的美术能力发展规律；3、美术功底扎实，熟悉美术材料的运用；4、性格乐观开朗，亲和力强，善于与儿童沟通，有责任感；5、品德优秀，喜爱孩子，热爱儿童教育事业
张江|针灸师,上海决卓信息技术有限公司,上海,面议,针灸推拿,包吃,不限,不限,招6人," 上海肤禧古方中应用自主研究的“中医经络学+营养学+心理学+人体运动学”的综合疗法治疗肥胖和预防肥胖；通过专业的医学理论和娴熟的临床技能为肥胖者提供专业和优质的服务。    随着减肥业务的逐渐扩大和成熟，现特招聘满足以下全部或部分条件的人才：  1.女性，年龄在25-60之间为佳,具有中、高级技术职称者经验优先，退休老中医亦可；3.具有执业医师（中医类别）资格，有两证（医师资格证书、医师执业证书）；4.有无技术均可，可熟练操作减肥调理者优先，；5.另熟练掌握中医推拿、中药理疗、刮痧、拨罐、艾炙尤佳； 具体待遇及工作职责面议。 工作地点：上海 联系：静慧老师    "
大场|课程顾问,上海龙王动漫文化有限公司,上海,面议,招生/课程顾问,"五险一金,话补",不限,不限,招若干人,对来访咨询者接待：全面、准确、有针对性的做好咨询工作任职资格喜欢儿童，热爱儿童教育事业，形象气质佳；营销类、教育类、心理学专业优先；具有出色的销售能力与良好的客户服务意识；工作积极主动，有进取心； 有团队合作精神和敬业精神，有亲和力，沟通能力强；有较强的学习和执行力，抗压能力强，富有责任心；具有两年以上教育培训行业课程顾问经验者优先考虑。岗位职责完成每月的市场、销售任务；发展及维护客户关系，完成每月服务任务；参与和支援相关销售、市场活动； 家长提供必要的儿童专注力及情商发展咨询。 
康桥|托班助教,上海焱丹教育科技有限公司,上海,3000-5000元/月,教师/助教,"五险一金,包吃,周末双休,年底双薪,加班补助",大专,不限,招2人,1.喜欢小朋友，有爱心、耐心、细心。2.协助主班教师带班工作。3.幼儿教育、心理学专业优先。4.应届毕业生可应聘。
松江大…|英语教师,上海蕴才教育培训有限公司,上海,4000-8000元/月,外语教师,五险一金,本科,不限,招5人,任职条件：1、专科及以上学历；2、熟练掌握办公软件和互联网的使用技巧；3、具备教育心理学知识，较强的授课能力；4、具有很强的中文表达能力，普通话标准，口齿伶俐；5、具有较强的亲和力，讲课生动活泼，知识面宽广；6、热爱教育事业，工作积极主动、责任心强。工作内容：市场开拓，销售邀约咨询，学员维护等职位要求：要有开拓进取，不怕吃苦的精神
上海|钢琴老师,上海黎饶文化传播有限公司,上海,8000-12000元/月,舞蹈老师,"五险一金,包住,加班补助",不限,不限,招1人,💕任职资格：1、大专以上学历，师范类院校毕业；2、具有一定的教学经验；3、具备教育心理学知识，较强的授课能力；4、具有很强的中文表达能力，普通话标准，口齿伶俐；5、具有较强的亲和力，讲课生动活泼，知识面宽广；6、热爱教育事业，工作积极主动、责任心强。7、一定要有团队精神；8:❗️❗️❗️公主病勿扰。💕工作地点：上海青浦试用期3个月，转正后工资组成：底薪3500（本科）+课时费+奖金+社保（月收入约8000-12000元）；💕福利：1、提供就近宿舍；2、享受节假日福利、国假假期；3、享受每年1-2次国内、外旅游；
